presidente,momento,data,selic,dolar,pib_var_ano,ipca_12m,meta,juro_real_expost,dentro_da_meta
Lula,início,2003-01-16,25.0,3.2937,1.14,14.46704105040335,4.0,10.53295894959665,False
Lula,fim,2007-01-15,13.25,2.1407,6.07,2.98796975660105,4.5,10.26203024339895,False
Lula,início,2007-01-16,13.25,2.1444,6.07,2.98796975660105,4.5,10.26203024339895,False
Lula,fim,2011-01-15,10.75,1.6843,3.97,5.993164877963819,4.5,4.756835122036181,True
Dilma,início,2011-01-16,10.75,1.6843,3.97,5.993164877963819,4.5,4.756835122036181,True
Dilma,fim,2015-01-15,11.75,2.6122,-3.55,7.137813070300547,4.5,4.612186929699453,False
Dilma,início,2015-01-16,11.75,2.6193,-3.55,7.137813070300547,4.5,4.612186929699453,False
Dilma,fim,2016-09-14,14.25,3.3262,,8.476385426191712,,5.773614573808288,
Temer,início,2016-09-15,14.25,3.3326,,8.476385426191712,,5.773614573808288,
Temer,fim,2019-01-15,6.5,3.7049,1.22,3.7765157688874673,4.25,2.7234842311125327,True
Bolsonaro,início,2019-01-16,6.5,3.7197,1.22,3.7765157688874673,4.25,2.7234842311125327,True
Bolsonaro,fim,2023-01-15,13.75,5.1146,3.24,5.774320292414625,3.25,7.975679707585375,False
Lula,início,2023-01-16,13.75,5.1115,3.24,5.774320292414625,3.25,7.975679707585375,False
Lula,fim,2025-07-01,15.0,5.4879,,,,,
